source_mat_id,sea_surf_temp_method,sea_surf_temp,ph,ph_method,sediment_temp,sediment_temp_method,redox_potential,redox_potential_method,alkalinity,alkalinity_method,ammonium,ammonium_method,atmospheric_data,bacteria_carb_prod,bacteria_carb_prod_method,biomass,biomass_method,chem_administration,chlorophyll,chlorophyll_method,diss_carb_dioxide,diss_carb_dioxide_method,diss_hydrogen,diss_hydrogen_method,diss_inorg_carb,diss_inorg_carb_method,diss_org_carb,diss_org_carb_method,diss_org_nitro,diss_org_nitro_method,diss_oxygen,diss_oxygen_method,magnesium,magnesium_method,methane,methane_method,misc_param,misc_param_method,n_alkanes,n_alkanes_method,nitrate,nitrate_method,nitrite,nitrite_method,org_carb,org_carb_method,org_matter,org_matter_method,org_nitro,org_nitro_method,organism_count,organism_count_method,oxy_stat_samp,part_org_carb,part_org_carb_method,part_org_nitro,part_org_nitro_method,particle_class,perturbation,petroleum_hydrocarb,petroleum_hydrocarb_method,phaeopigments,phaeopigments_method,phosphate,phosphate_method,pigments,pigments_method,porosity,pressure,pressure_method,sea_surf_salinity,sea_surf_salinity_method,silicate,silicate_method,sulfate,sulfate_method,sulfide,sulfide_method,tot_carb,tot_carb_method,tot_diss_nitro,tot_inorg_nitro,tot_nitro,tot_nitro_method,tot_part_carb,tot_part_carb_method,tot_phosp,tot_phosp_method,water_content,water_current,water_current_method,NOTES
EMO BON NRMCB So 211026 _1,CTD SBE911plusV2,20.7006,7.4,Oxyguard probe,17.1384,CTD SBE911plusV2,-151 mV,Oxyguard probe,,,,,,,,,,,,,,,,,,,,,,,5.5224,SBE43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1868,CTD SBE911plusV2,,,,,,,,,,,,,,,,,,,,
EMO BON NRMCB So 211026 _2,CTD SBE911plusV2,20.7006,7.4,Oxyguard probe,17.1384,CTD SBE911plusV2,-151 mV,Oxyguard probe,,,,,,,,,,,,,,,,,,,,,,,5.5224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1868,CTD SBE911plusV2,,,,,,,,,,,,,,,,,,,,
EMO BON NRMCB So 211026 _3,CTD SBE911plusV2,20.7006,7.4,Oxyguard probe,17.1384,CTD SBE911plusV2,-151 mV,Oxyguard probe,,,,,,,,,,,,,,,,,,,,,,,5.5224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1868,CTD SBE911plusV2,,,,,,,,,,,,,,,,,,,,
EMO BON NRMCB So 211026 _4,CTD SBE911plusV2,20.7006,7.4,Oxyguard probe,17.1384,CTD SBE911plusV2,-151 mV,Oxyguard probe,,,,,,,,,,,,,,,,,,,,,,,5.5224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1868,CTD SBE911plusV2,,,,,,,,,,,,,,,,,,,,
EMO BON NRMCB So 211026 _blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMO BON NRMCB So 211221 _1,CTD SBE911plusV2,16.7116,7.5,Oxyguard probe,16.6418,CTD SBE911plusV2,-142.5 mV,Oxyguard probe,,,,,,,,,,,,,,,,,,,,,,,4.9882,SBE43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.9033,CTD SBE911plusV2,,,,,,,,,,,,,,,,,,,,
EMO BON NRMCB So 211221 _2,CTD SBE911plusV2,16.7116,7.5,Oxyguard probe,16.6418,CTD SBE911plusV2,-142.5 mV,Oxyguard probe,,,,,,,,,,,,,,,,,,,,,,,4.9882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.9033,CTD SBE911plusV2,,,,,,,,,,,,,,,,,,,,
EMO BON NRMCB So 211221 _3,CTD SBE911plusV2,16.7116,7.5,Oxyguard probe,16.6418,CTD SBE911plusV2,-142.5 mV,Oxyguard probe,,,,,,,,,,,,,,,,,,,,,,,4.9882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.9033,CTD SBE911plusV2,,,,,,,,,,,,,,,,,,,,
EMO BON NRMCB So 211221 _4,CTD SBE911plusV2,16.7116,7.5,Oxyguard probe,16.6418,CTD SBE911plusV2,-142.5 mV,Oxyguard probe,,,,,,,,,,,,,,,,,,,,,,,4.9882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.9033,CTD SBE911plusV2,,,,,,,,,,,,,,,,,,,,
EMO BON NRMCB So 211221 _blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMO BON NRMCB So 220311 _1,CTD SBE911plusV2,13.9166,7.46,Oxyguard probe,13.978,CTD SBE911plusV2,-108.5 mV,Oxyguard probe,,,,,,,,,,,,,,,,,,,,,,,4.4653,SBE43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0925,CTD SBE911plusV2,,,,,,,,,,,,,,,,,,,,
EMO BON NRMCB So 220311 _2,CTD SBE911plusV2,13.9166,7.46,Oxyguard probe,13.978,CTD SBE911plusV2,-108.5 mV,Oxyguard probe,,,,,,,,,,,,,,,,,,,,,,,4.4653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0925,CTD SBE911plusV2,,,,,,,,,,,,,,,,,,,,
EMO BON NRMCB So 220311 _3,CTD SBE911plusV2,13.9166,7.46,Oxyguard probe,13.978,CTD SBE911plusV2,-108.5 mV,Oxyguard probe,,,,,,,,,,,,,,,,,,,,,,,4.4653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0925,CTD SBE911plusV2,,,,,,,,,,,,,,,,,,,,
EMO BON NRMCB So 220311 _4,CTD SBE911plusV2,13.9166,7.46,Oxyguard probe,13.978,CTD SBE911plusV2,-108.5 mV,Oxyguard probe,,,,,,,,,,,,,,,,,,,,,,,4.4653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0925,CTD SBE911plusV2,,,,,,,,,,,,,,,,,,,,
EMO BON NRMCB So 220311 _blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMO BON NRMCB So 220427 _1,CTD SBE911plusV2,16.185,7.48,Oxyguard probe,14.4393,CTD SBE911plusV2,-137 mV,Oxyguard probe,,,,,,,,,,,,,,,,,,,,,,,5.3768,SBE43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.8954,CTD SBE911plusV2,,,,,,,,,,,,,,,,,,,,
EMO BON NRMCB So 220427 _2,CTD SBE911plusV2,16.185,7.48,Oxyguard probe,14.4393,CTD SBE911plusV2,-137 mV,Oxyguard probe,,,,,,,,,,,,,,,,,,,,,,,5.3768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.8954,CTD SBE911plusV2,,,,,,,,,,,,,,,,,,,,
EMO BON NRMCB So 220427 _3,CTD SBE911plusV2,16.185,7.48,Oxyguard probe,14.4393,CTD SBE911plusV2,-137 mV,Oxyguard probe,,,,,,,,,,,,,,,,,,,,,,,5.3768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.8954,CTD SBE911plusV2,,,,,,,,,,,,,,,,,,,,
EMO BON NRMCB So 220427 _4,CTD SBE911plusV2,16.185,7.48,Oxyguard probe,14.4393,CTD SBE911plusV2,-137 mV,Oxyguard probe,,,,,,,,,,,,,,,,,,,,,,,5.3768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.8954,CTD SBE911plusV2,,,,,,,,,,,,,,,,,,,,
EMO BON NRMCB So 220427 _blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMO BON NRMCB So 230622 _1,CTD SBE911plusV2,25.1824,7.33,Oxyguard probe,14.3271,CTD SBE911plusV2,-185 mV,Oxyguard probe,,,,,,,,,,,,,,,,,,,,,,,5.1059,SBE43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.9906,CTD SBE911plusV2,,,,,,,,,,,,,,,,,,,,
EMO BON NRMCB So 230622 _2,CTD SBE911plusV2,25.1824,7.33,Oxyguard probe,14.3271,CTD SBE911plusV2,-185 mV,Oxyguard probe,,,,,,,,,,,,,,,,,,,,,,,5.1059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.9906,CTD SBE911plusV2,,,,,,,,,,,,,,,,,,,,
EMO BON NRMCB So 220622 _3,CTD SBE911plusV2,25.1824,7.33,Oxyguard probe,14.3271,CTD SBE911plusV2,-185 mV,Oxyguard probe,,,,,,,,,,,,,,,,,,,,,,,5.1059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.9906,CTD SBE911plusV2,,,,,,,,,,,,,,,,,,,,
EMO BON NRMCB So 230622 _4,CTD SBE911plusV2,25.1824,7.33,Oxyguard probe,14.3271,CTD SBE911plusV2,-185 mV,Oxyguard probe,,,,,,,,,,,,,,,,,,,,,,,5.1059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.9906,CTD SBE911plusV2,,,,,,,,,,,,,,,,,,,,
EMO BON NRMCB So 230623 _blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMO BON NRMCB So 030822 _1,CTD SBE911plusV2,27.3349,8.142,Oxyguard probe,14.3002,CTD SBE911plusV2,-218 mV,Oxyguard probe,,,,,,,,,,,,,,,,,,,,,,,5.0734,SBE43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1446,CTD SBE911plusV2,,,,,,,,,,,,,,,,,,,,redox probe very unstable
EMO BON NRMCB So 030822 _2,CTD SBE911plusV2,27.3349,8.142,Oxyguard probe,14.3002,CTD SBE911plusV2,-218 mV,Oxyguard probe,,,,,,,,,,,,,,,,,,,,,,,5.0734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1446,CTD SBE911plusV2,,,,,,,,,,,,,,,,,,,,redox probe very unstable
EMO BON NRMCB So 030822 _3,CTD SBE911plusV2,27.3349,8.142,Oxyguard probe,14.3002,CTD SBE911plusV2,-218 mV,Oxyguard probe,,,,,,,,,,,,,,,,,,,,,,,5.0734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1446,CTD SBE911plusV2,,,,,,,,,,,,,,,,,,,,redox probe very unstable
EMO BON NRMCB So 030822 _4,CTD SBE911plusV2,27.3349,8.142,Oxyguard probe,14.3002,CTD SBE911plusV2,-218 mV,Oxyguard probe,,,,,,,,,,,,,,,,,,,,,,,5.0734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1446,CTD SBE911plusV2,,,,,,,,,,,,,,,,,,,,redox probe very unstable
EMO BON NRMCB So 030822 _blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMO BON NRMCB So 111022 _1,CTD SBE911plusV2,,7.35,Oxyguard probe,,CTD SBE911plusV2,-290 mV,Oxyguard probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMO BON NRMCB So 111022 _2,CTD SBE911plusV2,,7.35,Oxyguard probe,,CTD SBE911plusV2,-290 mV,Oxyguard probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMO BON NRMCB So 111022_3,CTD SBE911plusV2,,7.35,Oxyguard probe,,CTD SBE911plusV2,-290 mV,Oxyguard probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMO BON NRMCB So 111022 _4,CTD SBE911plusV2,,7.35,Oxyguard probe,,CTD SBE911plusV2,-290 mV,Oxyguard probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMO BON NRMCB So 111022 _blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
